ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
1618,GEOVAX LABS; INC.,541715,n.a.,-2817,-2372,-2563,-2174,-3273,-2695,-2738,-2289,-2139,n.a.,-2958,-2371,-2560,-2170,-3272,-2689,-2734,-2285,-2135,n.a.,10394,469,642,490,610,1332,1333,2840,1478,n.a.,9884,283,260,313,454,1060,1102,2514,1036,n.a.,810,2016,1625,811,370,127,187,312,327,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-20,-8,-20,-28,-29,-29,-59,-69,-94
1619,CURE PHARMACEUTICAL HOLDING CORP.,339112,n.a.,-18958,-13692,-7558,-7342,-3926,-1536,-541,n.a.,n.a.,n.a.,-30621,-21363,-10400,-8150,-4157,-1603,-665,n.a.,n.a.,n.a.,46359,32460,3396,2100,2835,1822,1865,n.a.,n.a.,n.a.,1725,4096,501,108,1106,13,4,n.a.,n.a.,n.a.,14467,11836,8552,3529,558,5086,1511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-208,-277,-101,-121,-130,-116,-151,n.a.,n.a.
1620,FOR THE EARTH CORP.,325412,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1280,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1283,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1696,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,50,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1171,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-87
1621,ENVIRONMENTAL INFRASTRUCTURE HOLDINGS CORP.,333912,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1622,INVENTERGY GLOBAL; INC.,334210,n.a.,n.a.,n.a.,n.a.,n.a.,-6216,-5319,-13829,-120,237,n.a.,n.a.,n.a.,n.a.,n.a.,-8197,-11734,-20521,68,464,n.a.,n.a.,n.a.,n.a.,n.a.,18891,18835,37876,13115,13606,n.a.,n.a.,n.a.,n.a.,n.a.,1477,555,1443,1778,2162,n.a.,n.a.,n.a.,n.a.,n.a.,12556,10185,7331,3846,4427,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-17,-17,-10,-134,-105
1623,US NUCLEAR CORP.,334519,n.a.,-2084,-2968,-1308,34,-1585,424,-305,-24,-5,n.a.,-3538,-3161,-2407,10,-1606,399,-322,-29,-5,n.a.,2455,3541,3336,2666,2438,3499,3166,2868,0,n.a.,227,1088,969,442,236,419,140,266,n.a.,n.a.,1500,1240,890,903,832,509,808,566,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2,-2,-6,-14,-87,-7,-7,-4,-1
1624,ONCOTELIC THERAPEUTICS; INC.,325414,n.a.,-7585,-6080,-3002,-13842,-13759,-13682,-12650,-8280,-8057,n.a.,-9503,-6638,-2737,-13812,-13654,-13654,-12647,-13076,-8079,n.a.,23663,23685,799,1172,14114,27453,30423,7294,5447,n.a.,474,82,629,1115,12047,27285,30031,7005,4946,n.a.,11182,6783,1161,1649,1614,2103,1419,1251,901,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-37,-9,-2,-9,-19,-20,-16,-12,-29
1625,POWERLINX; INC.,336991,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1626,ELECTRONIC SENSOR TECHNOLOGY; INC.,334519,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1627,VIDAROO CORP,541512,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-424,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,412,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,206,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,68,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,773,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-22
1628,INFINITY PHARMACEUTICALS INC.,325412,n.a.,-38497,-45664,-11929,-36445,-143107,-127108,-7923,-127676,-99363,n.a.,-40492,-47057,-11253,-41830,-30101,-128376,-17416,-126780,-53964,n.a.,39319,49014,60215,59353,125655,288821,369144,230710,335660,n.a.,34108,42444,58591,57609,92064,245231,332726,213886,326018,n.a.,11047,9698,7718,11595,23863,70056,54877,22206,18663,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-483,-219,-191,-1715,-3418,-2292,-1773,-1823,-1643
1629,MARINUS PHARMACEUTICALS; INC.,541715,n.a.,-67937,-54422,-37179,-19043,-28242,-24432,-11920,-5379,-1431,n.a.,-76355,-54121,-36726,-18898,-28643,-24850,-13378,-9074,-3594,n.a.,150462,98842,75234,60672,31447,59648,50213,11824,8682,n.a.,139983,91682,72725,53392,30100,56196,49720,10037,8634,n.a.,10729,8031,6909,2544,8084,7435,2039,2366,4500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-334,-278,-127,-126,-23,-11,-5,-10,-18
1630,FOCUS UNIVERSAL INC.,541613,n.a.,-2704,-3330,-1584,-521,-467,-105,-84,-21,-2,n.a.,-2537,-3176,-2025,-626,-467,-110,-84,-21,-2,n.a.,5593,7229,9278,491,486,1032,113,8,0,n.a.,583,2193,4456,394,340,832,78,7,n.a.,n.a.,528,433,212,482,431,500,142,24,2,n.a.,n.a.,n.a.,0,1,1,1,n.a.,n.a.,n.a.,n.a.,-162,-152,-28,-2,-1,0,n.a.,n.a.,n.a.
1631,TRUTANKLESS INC,333414,n.a.,-6891,-3344,-2894,-2405,-2889,-4532,-6212,-3151,-1127,n.a.,-10567,-4893,-3536,-2872,-3273,-4293,-7218,-3206,-1173,n.a.,1797,927,871,702,510,857,898,1318,1276,n.a.,152,4,10,79,87,4,40,4,4,n.a.,3299,3901,2318,1985,988,891,498,681,104,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,-1,-5,-3,-8,-4,-3,n.a.,n.a.
1632,DELCATH SYSTEMS; INC.,339112,n.a.,-21303,-19908,-27071,-18165,-16440,-15210,-19304,-33019,-53871,n.a.,-24156,-8879,-19222,-45644,-17970,-14704,-17381,-30324,-51868,n.a.,34635,14212,6844,8887,35239,15733,23764,37097,30474,n.a.,28575,10002,2516,3999,4409,12607,20469,31249,23726,n.a.,10035,15994,17750,7814,36095,6312,4576,6632,10156,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-167,-212,-444,-310,-305,-617,-1000,-1126,-1331
1633,AYRO; INC.,336112,n.a.,-10106,-8494,-2231,-2545,-4032,-1069,-2157,-273,-14024,n.a.,-11196,-8665,-20149,-2256,-8270,-11329,-11168,-6911,-20548,n.a.,41961,2778,5630,7145,5804,15157,22022,18145,35795,n.a.,36537,642,4303,1659,2236,2364,2177,1410,811,n.a.,1587,2391,2592,3949,3484,15252,15998,15080,29687,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,7,140,195,n.a.,-333,-616,n.a.,-115,-65,-60,-110,-1434,-2167
1634,DYADIC INTERNATIONAL; INC.,541715,n.a.,-9963,-9255,-7572,-7376,-5808,-3646,-5178,473,1560,n.a.,-9325,-8308,-5692,-2136,-3609,65787,-5980,-428,1350,n.a.,30072,37453,43301,50744,58700,76667,8535,14940,12881,n.a.,29095,34223,41203,47685,48939,68601,2495,8892,3990,n.a.,1626,1588,850,769,1010,2873,2664,4129,4094,n.a.,n.a.,n.a.,0,101,4,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,-224,-201,-204
1635,RESHAPE LIFESCIENCES INC.,334510,n.a.,-11952,-23230,-36965,-34391,-19505,-14933,-9840,n.a.,n.a.,n.a.,-12334,-23676,-37380,-34765,-20467,-15557,-9890,n.a.,n.a.,n.a.,10617,20393,30386,53101,78778,14221,20719,n.a.,n.a.,n.a.,3905,14055,23735,44400,75475,12531,19244,n.a.,n.a.,n.a.,5046,3977,17231,10011,4592,5567,872,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-340,-500,-600,-330,-200,-200,-200,n.a.,n.a.
1636,CLINIGENCE HOLDINGS; INC.,541511,n.a.,-7048,-6898,-1831,-5693,-449,-499,-780,-727,n.a.,n.a.,-5650,-7117,-2814,582,-7432,84,-684,250,n.a.,n.a.,170,6693,2618,3329,511,7638,281,1071,n.a.,n.a.,27,1065,0,9,11,132,133,27,n.a.,n.a.,1154,4610,1385,960,6380,2889,285,515,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-15,-16,-2,-1,0,-5,-5,-7,n.a.
1637,ENERGY 1 CORPORATION,336310,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,438,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,417,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6653,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,60,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,90,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1638,AMERICAN CANNABIS COMPANY; INC.,541611,n.a.,-624,-20,-725,279,-533,-553,-3391,-4060,-3,n.a.,-532,-302,-951,-1488,-604,-516,-3619,-4500,1,n.a.,1888,1204,1275,1858,984,731,470,25,1148,n.a.,1726,950,1091,1653,751,565,347,18,146,n.a.,261,324,270,1077,329,593,386,17,779,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,195,n.a.,-14,-7,-4,-4,-5,-4,-1,-90,n.a.
1639,BG MEDICINE; INC.,325413,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4630,-7362,-14374,-22728,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-6902,-8064,-15849,-23769,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2133,5229,9353,15241,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1525,4123,7751,12786,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1180,4579,7350,8315,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-30,-74,-92,-189
1640,NEOMAGIC CORP,334413,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1641,INTELGENX TECHNOLOGIES CORP.,325412,n.a.,-6264,-9550,-8998,-2493,-981,1386,-1780,-1639,-2260,n.a.,-7044,-10660,-10108,-3051,-1180,1291,-1746,-1639,-2250,n.a.,11118,11020,20018,13147,12790,8916,6284,6217,4159,n.a.,2243,1912,10995,4904,4496,2865,4399,5005,2059,n.a.,4368,8447,2722,2077,5235,1779,1711,901,1366,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-734,-718,-719,-735,-511,-125,-74,-34,-37
1642,RADIOIO; INC.,541512,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3164,-747,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3291,-747,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,515,1881,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,149,18,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1641,1516,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-24,-40
1643,SYNDAX PHARMACEUTICALS; INC.,325412,n.a.,-71423,-57539,-75876,-61954,-43766,-20513,-21332,-8571,-8834,n.a.,-73158,-56047,-73961,-60802,-47070,-103845,-26357,-60454,-9921,n.a.,300613,63525,83938,137186,109013,89903,12816,17061,1510,n.a.,297748,61072,81574,131260,106960,87294,12208,14264,628,n.a.,18872,18368,16105,15798,10366,4847,10346,2730,25104,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-89,-92,-78,-76,-89,-21,-15,-13,-34
1644,SKKYNET CLOUD SYSTEMS; INC.,541511,n.a.,-392,-557,-451,-750,-1148,-1455,-1095,-316,-131,n.a.,-323,-587,-502,-755,-1109,-1312,-1059,-242,-137,n.a.,1088,866,903,759,450,660,1070,461,228,n.a.,817,700,677,583,267,470,978,365,122,n.a.,569,286,247,190,204,195,505,290,386,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2,0,-1,-1,-1,-39,-2,-2,-2
1645,LEAP THERAPEUTICS; INC.,541715,n.a.,-28539,-33451,-30751,-32352,-27521,-11922,-7632,n.a.,n.a.,n.a.,-37285,-32900,-23138,-29727,-25632,-12050,-7705,n.a.,n.a.,n.a.,54371,7448,19074,29062,6457,1260,1138,n.a.,n.a.,n.a.,52071,3891,16284,25737,793,405,238,n.a.,n.a.,n.a.,7372,8486,6451,6083,36157,5668,4668,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-34,-47,-49,-48,-25,n.a.,n.a.,n.a.,n.a.
1646,DIGITILITI INC,541511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1647,POSITRON CORPORATION,334510,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2743,-3338,-4722,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2584,-7104,-7955,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1869,3882,2685,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,208,1744,243,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2697,14657,8110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-152,-160,-226
1648,GELTECH SOLUTIONS; INC.,325998,n.a.,n.a.,n.a.,-3329,-3344,-3627,-2361,-6454,-5768,-4885,n.a.,n.a.,n.a.,-4014,-4162,-4672,-2639,-7112,-5222,-7130,n.a.,n.a.,n.a.,2519,2370,2301,1960,1240,968,936,n.a.,n.a.,n.a.,70,44,151,135,66,90,84,n.a.,n.a.,n.a.,517,831,749,750,937,1339,2404,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-81,-91,-83,-31,-55,-49,-51
1649,PACE MEDICAL; INC.,334510,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1650,ATHERSYS; INC.,325412,n.a.,-78332,-45488,-25662,-33283,-15708,-17171,-29012,-24457,-16001,n.a.,-78765,-44582,-24283,-32241,-15337,-16422,-22082,-30743,-14735,n.a.,59714,41666,61730,33593,19060,25129,28718,34188,27603,n.a.,51546,35041,51059,29316,14753,23027,26127,31948,25533,n.a.,22954,12837,15475,10083,6875,4756,4692,4368,4478,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-890,-698,-855,-684,-382,-267,-360,-346,-320
1651,1MAGE SOFTWARE; INC.,541512,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1652,WORKHORSE GROUP INC.,336112,n.a.,-40981,-23867,-34068,-41036,-19512,-8461,-6210,-5852,-4042,n.a.,69777,-37163,-37268,-41217,-19556,-9427,-6609,-6111,-4272,n.a.,632542,50674,11805,16504,10240,14642,4952,4851,221,n.a.,46818,23868,1513,4069,470,7677,442,7,40,n.a.,17597,47044,18915,11283,4334,18425,3267,4465,2439,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-810,-388,-348,-550,-382,-371,-388,-320,-64
1653,GOLDKEY CORPORATION,541519,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,685,101,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,685,96,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3014,2318,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,936,363,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,45,34,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-31,-28,n.a.
1654,AFFYMAX; INC.,325412,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-42431,-92039,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-14424,-93412,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7443,118217,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5597,77982,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8871,99075,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-722,-1987
1655,CANNLABS; INC.,541380,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3188,9,-26,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1606,0,-28,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1318,223,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11,54,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1509,151,30,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-229,-15,-32
1656,GENOCEA BIOSCIENCES; INC.,325412,n.a.,-46989,-38989,-39518,-52637,-48245,-41366,-33166,-19925,-12953,n.a.,-43714,-38950,-27811,-56710,-49573,-42483,-35296,-20806,-13367,n.a.,98493,52611,31115,17488,69896,112142,50332,15761,13531,n.a.,79769,40127,26361,12273,63362,94328,47079,12208,11516,n.a.,24995,6281,10732,15779,10370,5967,5840,4493,4201,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1138,-1097,-1088,-1516,-1813,-1100,-469,-318,-300
1657,HYDROGEN ENGINE CENTER; INC.,335312,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1658,ANDREA ELECTRONICS CORP,334310,n.a.,-755,-477,-890,-1072,-1243,2687,-2314,-953,-1346,n.a.,-824,-549,-945,-1154,-1254,3044,-2893,-1118,-1493,n.a.,1210,1289,1519,1956,3710,8711,4990,2789,3730,n.a.,363,336,487,1164,2955,5593,3575,1000,1746,n.a.,449,410,400,423,927,6053,1231,589,435,n.a.,n.a.,n.a.,n.a.,n.a.,0,45,38,n.a.,n.a.,n.a.,-14,-29,-30,-25,-25,-25,-54,-91,-573
